pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,Day Name,Day Number,Month Name,Month Number
30,12,cali_ckn_l,1,01-01-2015,13:04:41,20.75,20.75,Large,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,5,January,1
31,12,cali_ckn_s,1,01-01-2015,13:04:41,12.75,12.75,Regular,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,5,January,1
32,12,ckn_pesto_l,1,01-01-2015,13:04:41,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,Thursday,5,January,1
33,12,ital_supr_m,1,01-01-2015,13:04:41,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
34,13,mexicana_l,1,01-01-2015,13:11:55,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
35,14,the_greek_s,1,01-01-2015,13:14:19,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,5,January,1
36,15,big_meat_s,1,01-01-2015,13:33:00,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,5,January,1
37,15,five_cheese_l,1,01-01-2015,13:33:00,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,5,January,1
38,15,soppressata_l,1,01-01-2015,13:33:00,20.75,20.75,Large,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",The Soppressata Pizza,Thursday,5,January,1
39,15,the_greek_s,1,01-01-2015,13:33:00,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,5,January,1
40,16,four_cheese_l,1,01-01-2015,13:34:07,17.95,17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,5,January,1
41,16,napolitana_s,1,01-01-2015,13:34:07,12,12,Regular,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,Thursday,5,January,1
42,16,thai_ckn_l,1,01-01-2015,13:34:07,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
43,17,bbq_ckn_l,1,01-01-2015,13:53:00,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
44,17,calabrese_m,1,01-01-2015,13:53:00,16.25,16.25,Medium,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza,Thursday,5,January,1
45,17,five_cheese_l,1,01-01-2015,13:53:00,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,5,January,1
46,17,four_cheese_m,1,01-01-2015,13:53:00,14.75,14.75,Medium,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,5,January,1
47,17,ital_supr_m,1,01-01-2015,13:53:00,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
48,17,ital_veggie_s,1,01-01-2015,13:53:00,12.75,12.75,Regular,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza,Thursday,5,January,1
49,17,mediterraneo_m,2,01-01-2015,13:53:00,16,32,Medium,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",The Mediterranean Pizza,Thursday,5,January,1
50,17,mexicana_l,1,01-01-2015,13:53:00,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
51,17,peppr_salami_s,1,01-01-2015,13:53:00,12.5,12.5,Regular,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,Thursday,5,January,1
52,17,spinach_fet_l,1,01-01-2015,13:53:00,20.25,20.25,Large,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,Thursday,5,January,1
53,18,napolitana_l,1,01-01-2015,13:57:08,20.5,20.5,Large,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,Thursday,5,January,1
54,19,ital_cpcllo_l,1,01-01-2015,13:59:09,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
55,19,sicilian_l,1,01-01-2015,13:59:09,20.25,20.25,Large,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,Thursday,5,January,1
56,20,big_meat_s,1,01-01-2015,14:03:08,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,5,January,1
57,20,five_cheese_l,1,01-01-2015,14:03:08,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,5,January,1
58,21,ital_cpcllo_l,1,01-01-2015,14:14:29,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
59,22,five_cheese_l,1,01-01-2015,14:16:26,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,5,January,1
60,22,ital_cpcllo_m,1,01-01-2015,14:16:26,16,16,Medium,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
61,22,southw_ckn_l,1,01-01-2015,14:16:26,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,5,January,1
62,23,southw_ckn_s,1,01-01-2015,14:19:03,12.75,12.75,Regular,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,5,January,1
63,24,bbq_ckn_m,1,01-01-2015,14:23:01,16.75,16.75,Medium,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
64,24,ital_cpcllo_m,1,01-01-2015,14:23:01,16,16,Medium,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
65,24,pepperoni_m,1,01-01-2015,14:23:01,12.5,12.5,Medium,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,5,January,1
66,24,prsc_argla_s,1,01-01-2015,14:23:01,12.5,12.5,Regular,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,Thursday,5,January,1
67,25,sicilian_m,1,01-01-2015,14:44:44,16.25,16.25,Medium,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,Thursday,5,January,1
68,25,thai_ckn_l,1,01-01-2015,14:44:44,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
69,26,classic_dlx_s,1,01-01-2015,14:54:26,12,12,Regular,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,5,January,1
70,26,veggie_veg_l,1,01-01-2015,14:54:26,20.25,20.25,Large,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,Thursday,5,January,1
71,27,bbq_ckn_l,1,01-01-2015,15:11:17,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
72,27,classic_dlx_m,1,01-01-2015,15:11:17,16,16,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,5,January,1
73,27,spinach_fet_l,1,01-01-2015,15:11:17,20.25,20.25,Large,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,Thursday,5,January,1
74,28,ckn_alfredo_s,1,01-01-2015,15:35:46,12.75,12.75,Regular,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,Thursday,5,January,1
75,29,green_garden_s,1,01-01-2015,15:41:01,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
76,30,thai_ckn_l,1,01-01-2015,15:41:25,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
77,31,mexicana_m,1,01-01-2015,15:50:18,16,16,Medium,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
78,31,pepperoni_s,1,01-01-2015,15:50:18,9.75,9.75,Regular,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,5,January,1
79,32,big_meat_s,1,01-01-2015,15:53:18,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,5,January,1
80,32,green_garden_l,1,01-01-2015,15:53:18,20.25,20.25,Large,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
81,32,ital_cpcllo_l,1,01-01-2015,15:53:18,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
82,32,ital_supr_m,1,01-01-2015,15:53:18,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
83,33,bbq_ckn_l,1,01-01-2015,15:54:08,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
84,33,green_garden_s,1,01-01-2015,15:54:08,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
85,34,the_greek_s,1,01-01-2015,16:21:21,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,5,January,1
86,35,green_garden_m,1,01-01-2015,16:32:04,16,16,Medium,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
87,35,pep_msh_pep_l,1,01-01-2015,16:32:04,17.5,17.5,Large,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",Thursday,5,January,1
88,35,pepperoni_m,1,01-01-2015,16:32:04,12.5,12.5,Medium,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,5,January,1
89,35,thai_ckn_l,1,01-01-2015,16:32:04,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
90,36,bbq_ckn_m,1,01-01-2015,16:54:09,16.75,16.75,Medium,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
91,36,classic_dlx_m,1,01-01-2015,16:54:09,16,16,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,5,January,1
92,37,ital_supr_l,1,01-01-2015,16:56:09,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
93,37,mexicana_l,1,01-01-2015,16:56:09,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
94,38,hawaiian_s,1,01-01-2015,17:03:00,10.5,10.5,Regular,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,5,January,1
95,38,ital_cpcllo_l,1,01-01-2015,17:03:00,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
96,39,ital_supr_l,1,01-01-2015,17:07:23,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
97,40,four_cheese_l,1,01-01-2015,17:14:36,17.95,17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,5,January,1
98,40,southw_ckn_s,1,01-01-2015,17:14:36,12.75,12.75,Regular,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,5,January,1
99,41,four_cheese_m,1,01-01-2015,17:15:20,14.75,14.75,Medium,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,5,January,1
100,41,green_garden_s,1,01-01-2015,17:15:20,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
101,42,big_meat_s,1,01-01-2015,17:28:09,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,5,January,1
102,42,five_cheese_l,1,01-01-2015,17:28:09,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,5,January,1
103,42,mexicana_l,1,01-01-2015,17:28:09,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
104,42,peppr_salami_m,1,01-01-2015,17:28:09,16.5,16.5,Medium,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,Thursday,5,January,1
105,43,ckn_alfredo_m,1,01-01-2015,17:38:34,16.75,16.75,Medium,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,Thursday,5,January,1
106,43,ital_supr_m,1,01-01-2015,17:38:34,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
107,43,peppr_salami_l,1,01-01-2015,17:38:34,20.75,20.75,Large,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,Thursday,5,January,1
108,44,spin_pesto_s,1,01-01-2015,17:54:20,12.5,12.5,Regular,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,Thursday,5,January,1
109,45,four_cheese_l,1,01-01-2015,17:55:48,17.95,17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,5,January,1
110,45,hawaiian_s,1,01-01-2015,17:55:48,10.5,10.5,Regular,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,5,January,1
111,45,thai_ckn_m,1,01-01-2015,17:55:48,16.75,16.75,Medium,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
112,46,ckn_pesto_l,1,01-01-2015,18:25:51,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,Thursday,5,January,1
113,46,classic_dlx_l,1,01-01-2015,18:25:51,20.5,20.5,Large,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,5,January,1
114,46,thai_ckn_m,1,01-01-2015,18:25:51,16.75,16.75,Medium,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
115,47,southw_ckn_l,1,01-01-2015,18:26:34,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,5,January,1
116,47,veggie_veg_s,1,01-01-2015,18:26:34,12,12,Regular,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,Thursday,5,January,1
117,48,ckn_pesto_m,1,01-01-2015,18:26:42,16.75,16.75,Medium,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,Thursday,5,January,1
118,48,green_garden_s,1,01-01-2015,18:26:42,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
119,48,prsc_argla_l,1,01-01-2015,18:26:42,20.75,20.75,Large,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,Thursday,5,January,1
120,48,spicy_ital_l,1,01-01-2015,18:26:42,20.75,20.75,Large,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,Thursday,5,January,1
121,49,sicilian_l,1,01-01-2015,18:33:00,20.25,20.25,Large,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,Thursday,5,January,1
122,50,the_greek_xl,1,01-01-2015,18:41:01,25.5,25.5,X-Large,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,5,January,1
123,51,bbq_ckn_l,1,01-01-2015,18:48:28,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
124,51,pep_msh_pep_l,1,01-01-2015,18:48:28,17.5,17.5,Large,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",Thursday,5,January,1
125,52,hawaiian_l,1,01-01-2015,18:53:02,16.5,16.5,Large,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,5,January,1
126,52,mexicana_l,1,01-01-2015,18:53:02,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
